filename,country,region,farm,producer,variety,tasting_notes,altitude_min_m,altitude_max_m,process,card_color_hex,stamp_motif,language,card_design,blurb
IMG_0730.jpg,Kenya,Nyeri,Thuti Washing Station,James Nderitu Gathua,"Ruiru 11, SL 28, and SL 34","Cereals, Dark chocolate, Biscuit, Citric, Floral",1700,1850,Washed Fermented,#B5734F,cookie with chocolate chips,en,stamp,"This coffee comes from Nyeri, Kenya, a region where altitude and volcanic soils shape coffees with a very distinct character. Around the Thuti washed station, about 600 small producers work together on family plots, with time and consistency. The process is washed, carefully fermented, and never rushed. A clean, direct coffee with clarity and energy — easy to understand from the first cup and still engaging to the last."
IMG_0731.jpg,Guatemala,Fraijanes,Finca Santa Rita,Rita Graciela Cohen,Caturra,"Cocoa, Strawberry, Blackcurrant, Blood orange, Green tea",1675,1734,Natural,#9C1B27,two cherries on stems,en,stamp,"This coffee comes from Finca Santa Rita, in Fraijanes, a farm dating 1968. Rita Graciela Cohen produces a natural Caturra, grown at high altitude and processed with care: ripe cherry selection, anaerobic fermentation in cherry, and slow outdoor drying using the sleeping bag technique. The result is a vibrant and layered cup, with notes of cocoa, strawberry, blackcurrant, blood orange, and green tea — clean, expressive, and full of energy."
IMG_0732.jpg,Costa Rica,Tarrazú,Finca Monte Alto,Gerardo Arias,Red Catuai,"Light caramel, Dark chocolate, Red plum, Panela, Grapefruit",1500,1800,Natural,#5F3B1F,puzzle pieces,pt,stamp,"This coffee comes from Finca Monte Alto, in Tarrazú, produced by Gerardo Arias. The farm is part of Café Directo, a family project that does everything in-house — growing, processing and deciding. Monte Alto sits up high, where altitude and climate slow everything down — ripening, drying, decisions — and give the coffee time to happen. A natural made with calm, experience, and a simple idea: let the coffee speak for itself."
IMG_0733.jpg,Colombia,Huila,Palermo,Família Cerquera,Castillo,"Brown sugar, Licorice, Winey, Dark chocolate, Prune, Blackberry, Citrus fruit",1600,1800,Natural,#671A2D,wrapped candy with grid pattern,en,stamp,"Coffee from Palermo, Huila — a region where altitude and climate help keep coffees consistent and well defined. The Cerquera family leads the production, working side by side with neighboring producers. This natural Castillo is simple in the best way possible: clean, direct, and well executed. Hand-picked at peak ripeness, cherry-fermented and slowly dried, made for those who enjoy a clear profile with no excess."
IMG_0736.jpg,Ethiopia,Sidama,Bombe Washing Station,Dukale Wakayo Dakola,Heirloom,"Honey, Milky, Milk chocolate, Lemon, Apricot, Tangerine",1950,1950,Washed,#C84A2D,abstract organic blob cluster,en,stamp,"A classic washed Sidama, prepared by Dukale Wakayo Dakola at the Bombe washing station. High-altitude coffee, handled with care and precision, fermented and dried on African beds. Clean, structured, and straight to the point."
IMG_0737.jpg,Ethiopia,Sidama,Bombe Washing Station,Bensa village,Heirloom,"Maple syrup, Rum, Cocoa, Blackberry, Cherry, Pineapple",2300,2400,Anaerobic Natural,#B72463,flower bloom with leaf petals,pt,stamp,"This Sidama microlot is prepared by the Bombe village station via anaerobic fermentation. Coffee is harvested at around 2,300 m of altitude, in an environment rich in aromatic characteristics renowned for Sidama profiles, by which this denomination is recognized. The coffee is prepared at the station managed by DWD. A short distance from Bombe village, this station has existed since 2022, and is for those Bombe producers who bring their coffee after anaerobic fermentation. During 92 hours, the coffee dries on raised beds for between 17 and 22 days."
IMG_0738.jpg,El Salvador,Juayúa,Vega,Andrés Salaverría,Bourbon,"Dark brown caramel, Malt, Blackberry, Pear, Pineapple, Dark Rose",1600,1600,Honey,#C7202E,three fan/leaf shapes,pt,stamp,"Vega is the star that gives its name to all the lots of coffee from Andrés Salaverría in Apaneca-Ilamatepec. Each lot has its own identity, with flavors, aromas and unique processes that make it shine. As in the universe of coffee, each producer gives a name to their lots — and Vega is the one that stands out the most."
IMG_0739.jpg,Guatemala,Acatenango,Tojtik,Asproguate,"Caturra, Catuaí","Spices, Caramel, Dried fruits, Milk chocolate",1700,1900,Washed,#8C5E37,amorphous blob with scattered coffee beans,pt,stamp,"Tojvik coffee is the result of the dedication of the Acatenango Producers Association, cultivated on volcanic soils rich in nutrients, using sustainable agricultural practices. This coffee guarantees a harvest free of synthetic chemicals, respecting the natural balance of the ecosystem. In addition, Acatenango producers implement good environmental practices to conserve their resources and offer an exceptional quality coffee, with a unique flavor profile that reflects the purity and richness of our land."
IMG_0740.jpg,Ethiopia,"Sidamo, Bensa",Shantawane Washing Station,,Heirloom 74-165,"Floral, Lime, Peach, Pineapple",1950,1950,Washed,#7C2E5E,six-petal flower with star,en,stamp,"This coffee comes from the Shantawane washing station in Bensa, Southern Ethiopia. For the 3rd year in a row, we're teaming up with smallholders who bring cherries from tiny family plots where coffee grows side by side with crops like false banana and local legumes. This style of farming, known as 'garden coffee', is small-scale, sustainable, and deeply rooted in tradition — giving us the floral, complex cups that make Bensa truly unforgettable."
IMG_0741.jpg,Uganda,Rwenzori Mountains,Bukonzo,Agri Evolve,"SL14, SL28","Cherry, Syrup, Chocolate, Brown sugar, Stone fruit",1400,2000,Natural,#C75A2A,horseshoe / C-shape with worm doodles,pt,stamp,"Bukonzo Dream is a lot processed naturally, cultivated by 300 to 500 small producers in the Rwenzori mountains, in Uganda, at altitudes of 1,400 to 2,000m. The lot was processed and exported by Agri Evolve."
IMG_0742.jpg,Colombia,Antioquia,El Vergel,Urrao,Chiroso,"Chocolate, Caramel, Sugar cane, Lime, Tropical fruit",1880,1880,Washed,#A89A2C,palm/fan shape with squiggles,pt,stamp,"The Chiroso coffee from the San Carlos Project is about showing the full potential of the Chiroso variety and giving strength to the producers of Urrao, Antioquia. At 1,900 m, in the valley of the Penderisco river, Chiroso coffee is the style of garra de vida. Around 10 producers full of guts test new techniques to raise the quality and put Urrao on the map of specialty coffee."
IMG_0743.jpg,Kenya,Migori County,Kuria,,"Ruiru 11, Batian, SL28, SL34","Lime, Honey, Nougat, Pineapple",1400,1600,Anaerobic Natural,#90952A,amorphous blob shape with squiggles,pt,stamp,"Kuria is a lot processed naturally, fermented anaerobically with yeasts. Kuria sits near the washing station, where mounted check-points were set up to facilitate the delivery of cherries by farmers. It was decided that the districts would be processed separately to identify quality differences, with the goal of offering improvement. The objective is to offer transparency and to identify areas for seedling planting and agronomy to face the difficulties of each harvest."
